City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Conditions
80,Beloha,-25.1667,45.05,67.69,69,0,9.35,MG,clear sky
81,Bluff,-46.6,168.3333,39.79,89,89,9.06,NZ,overcast clouds
82,Teluk Nibung,3.001,99.8164,74.23,93,100,3.94,ID,overcast clouds
83,Faya,18.3851,42.4509,66.72,68,95,6.08,SA,overcast clouds
84,Grand Gaube,-20.0064,57.6608,70.38,76,14,5.99,MU,few clouds
85,Datong,40.0936,113.2914,61.65,71,36,4.61,CN,scattered clouds
86,Baruun-Urt,46.6806,113.2792,58.15,57,3,6.33,MN,clear sky
87,Longyearbyen,78.2186,15.6401,46.24,71,75,16.11,SJ,light rain
88,Yar-Sale,66.8333,70.8333,55.67,93,100,17.13,RU,light rain
89,Geraldton,-28.7667,114.6,45.01,93,40,9.22,AU,scattered clouds
90,Tiksi,71.6872,128.8694,43.81,79,8,5.64,RU,clear sky
91,Bandarbeyla,9.4942,50.8122,78.06,81,1,27.11,SO,clear sky
92,Yinchuan,38.4681,106.2731,76.41,24,70,7.92,CN,broken clouds
93,Adrar,20.5022,-10.0711,102.09,18,33,8.59,MR,scattered clouds
94,Smila,49.2224,31.8871,73.51,69,7,7.18,UA,clear sky
95,Dosso,13.049,3.1937,85.89,57,97,15.75,NE,overcast clouds
96,Krasnogorsk,55.8225,37.3181,71.19,83,56,6.71,RU,mist
97,Kruisfontein,-34.0033,24.7314,56.88,80,99,22.19,ZA,overcast clouds
98,Hobyo,5.3505,48.5268,78.35,78,5,24.56,SO,clear sky
99,Pishin,30.5803,66.9961,81.0,15,0,4.09,PK,clear sky
100,Bilari,28.6333,78.8,82.98,80,90,6.13,IN,overcast clouds
101,Den Helder,52.9599,4.7593,61.99,70,20,11.99,NL,few clouds
102,Te Anau,-45.4167,167.7167,40.71,92,95,1.3,NZ,overcast clouds
103,Sur,22.5667,59.5289,91.42,53,100,15.41,OM,overcast clouds
104,New Norfolk,-42.7826,147.0587,37.71,83,15,2.24,AU,few clouds
105,Bjornevatn,69.6672,29.9847,57.54,88,75,5.75,NO,broken clouds
106,Vardo,70.3705,31.1107,56.95,93,75,9.22,NO,broken clouds
107,Zaliztsi,49.7919,25.373,70.77,65,90,14.09,UA,overcast clouds
108,Hambantota,6.1241,81.1185,79.14,94,20,6.91,LK,few clouds
109,Gat,31.61,34.7642,86.4,57,0,4.72,IL,clear sky
110,Yatou,37.15,122.3833,72.82,94,0,4.16,CN,clear sky
111,Hotaka,36.3396,137.8825,72.45,88,99,2.35,JP,overcast clouds
112,Suhbaatar,50.2314,106.2078,64.51,74,100,3.49,MN,overcast clouds
113,Luwingu,-10.2621,29.9271,60.04,57,5,7.45,ZM,clear sky
114,Luderitz,-26.6481,15.1594,67.75,36,0,11.14,NA,clear sky
115,Christchurch,-43.5333,172.6333,51.91,87,75,7.0,NZ,broken clouds
116,Nyurba,63.2842,118.3319,59.43,61,100,4.99,RU,overcast clouds
117,Skjervoy,70.0311,20.9714,48.38,74,37,4.68,NO,scattered clouds
118,Naze,28.3667,129.4833,79.05,87,73,13.42,JP,broken clouds
119,Wanning,18.8003,110.3967,80.76,89,100,10.45,CN,overcast clouds
120,Port Hedland,-20.3167,118.5667,59.05,44,0,11.5,AU,clear sky
121,Jumla,29.2747,82.1838,64.04,94,96,1.07,NP,overcast clouds
122,Chik,54.9928,82.4311,64.18,100,0,4.47,RU,clear sky
123,Bela,25.9333,81.9833,77.72,88,90,9.19,IN,overcast clouds
124,Hokitika,-42.7167,170.9667,50.23,91,97,2.66,NZ,overcast clouds
125,Movila,44.55,27.7,84.51,49,0,14.85,RO,clear sky
126,Bundaberg,-24.85,152.35,62.89,100,40,6.91,AU,scattered clouds
127,Fukue,32.6881,128.8419,80.82,85,100,8.72,JP,overcast clouds
128,Pyaozerskiy,65.8333,31.1667,58.68,88,100,5.68,RU,overcast clouds
129,Kaitangata,-46.2817,169.8464,42.64,96,22,4.5,NZ,few clouds
130,Wenling,28.3669,121.36,80.91,91,100,4.88,CN,overcast clouds
131,Hami,42.8,93.45,69.06,45,80,8.16,CN,broken clouds
