City_ID,City,Country,Max Temp,Conditions,Lat,Lng,Hotel Name
137,Lorengau,PG,82.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Mirnyy,RU,60.24,overcast clouds,62.5353,113.9611,квартира
140,Morondava,MG,71.17,clear sky,-20.2833,44.2833,La Case Bambou
141,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
143,Thyboron,DK,60.19,few clouds,56.6985,8.2124,Thyborøn Hotel
144,Tevriz,RU,61.0,scattered clouds,57.509,72.4042,Postoyalyy Dvor
145,Maria Aurora,PH,78.55,moderate rain,15.7967,121.4737,Attic Travellers Inn
146,Honiara,SB,75.9,scattered clouds,-9.4333,159.95,Heritage Park Hotel
147,Gushikawa,JP,81.99,broken clouds,26.3544,127.8686,Kirari Guest House
148,Vangaindrano,MG,65.14,light rain,-23.35,47.6,Hotel Fanilo
149,Dzaoudzi,YT,75.09,clear sky,-12.7887,45.2699,Le Rocher
151,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
152,Iisaku,EE,61.9,broken clouds,59.1014,27.3081,Raja Country House
155,Nabire,ID,75.34,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
156,Saint-Leu,RE,68.83,few clouds,-21.15,55.2833,La Caz Oceane
157,Atambua,ID,70.56,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
160,Griffith,US,79.5,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
162,Lahat,ID,71.24,light rain,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
163,Sergeyevka,KZ,69.28,clear sky,53.88,67.4158,Amina
164,Muli,MV,82.69,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
165,Si Bun Ruang,TH,78.01,overcast clouds,16.9667,102.2833,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
167,Auki,SB,75.45,overcast clouds,-8.7676,160.7034,Auki Motel
168,Bengkulu,ID,74.89,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
169,Mahenge,TZ,65.03,broken clouds,-8.6833,36.7167,Mkondosii Guest House
171,Vung Tau,VN,80.73,overcast clouds,10.346,107.0843,Green hotel
172,Kununurra,AU,66.18,clear sky,-15.7667,128.7333,Hotel Kununurra
173,Samarai,PG,75.0,overcast clouds,-10.6167,150.6667,Nuli Sapi
174,Murygino,RU,62.4,scattered clouds,58.7383,49.4582,Prislon
175,Gizo,SB,79.68,light rain,-8.103,156.8419,Imagination Island
176,Manado,ID,75.97,few clouds,1.487,124.8455,Aryaduta Hotel
179,Zhangjiakou,CN,61.72,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
180,Jega,NG,83.19,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
181,East London,ZA,63.81,clear sky,-33.0153,27.9116,Tu Casa
182,Salzkotten,DE,61.48,light rain,51.6717,8.6009,Westfälischer Hof
183,Ormara,PK,81.54,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
185,Balkhash,KZ,79.16,clear sky,46.844,74.9804,Family
186,Tete,MZ,68.95,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
188,Kanniyakumari,IN,80.19,overcast clouds,8.0833,77.5667,Sparsa
189,Nsukka,NG,71.15,light rain,6.8561,7.3927,Golden Eve Hotel
190,Pitea,SE,60.89,overcast clouds,65.3172,21.4794,Piteå Stadshotell
191,Kalmunai,LK,81.95,overcast clouds,7.4167,81.8167,VS Villa
192,Hervey Bay,AU,65.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
193,Nakamura,JP,76.08,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
195,Srandakan,ID,74.98,scattered clouds,-7.9386,110.2506,Puri Brata
198,Karratha,AU,61.74,clear sky,-20.7377,116.8463,ibis Styles Karratha
199,Lahore,PK,85.98,smoke,31.5497,74.3436,"Hotel One Down Town, Lahore"
200,Kemin,KG,67.28,overcast clouds,42.7846,75.6892,Hotel Kok-Oirok
201,Cairns,AU,67.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
202,Phonhong,LA,76.42,overcast clouds,18.5007,102.4166,Manyvong Guest House
203,Taybad,IR,80.47,clear sky,34.74,60.7756,لی پوش jean center
204,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
205,Odweyne,SO,75.0,clear sky,9.4092,45.064,Eng Hiirey House
208,Yekaterinovka,RU,73.58,clear sky,52.0508,44.3451,Gostinitsa
210,Luena,AO,60.76,clear sky,-11.7833,19.9167,Hotel Kandamba
211,Mareeba,AU,63.32,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
213,Xining,CN,60.75,scattered clouds,36.6167,101.7667,Super Leisure Hotel
214,Zhanaozen,KZ,87.64,clear sky,43.3,52.8,K.korabay 28A
215,Kota Kinabalu,MY,76.98,scattered clouds,5.9749,116.0724,Gaya Centre Hotel
216,Payo,ID,71.17,overcast clouds,-3.7508,103.6372,Mess keban agung
217,Manono,CD,76.95,clear sky,-7.3,27.4167,Hotel hewa bora
218,Saint-Paul,RE,69.89,scattered clouds,-21.0096,55.2707,Boucan Canot
219,Sala,MA,70.75,clear sky,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
220,Kudahuvadhoo,MV,82.72,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
221,Zhob,PK,85.55,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
223,Perevolotskiy,RU,76.59,broken clouds,51.8763,54.1938,GRAND OASIS
227,Zhigansk,RU,60.69,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
228,Daru,PG,75.54,scattered clouds,-9.0763,143.2092,Daru Lodge
231,Samarinda,ID,73.04,broken clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
232,Port Alfred,ZA,61.83,few clouds,-33.5906,26.891,The Halyards Hotel
236,Nola,IT,87.31,scattered clouds,40.922,14.5329,Pamaran Hotel
237,Makasar,ID,77.05,few clouds,-5.14,119.4221,Hotel Horison Ultima Makassar
240,Mahibadhoo,MV,81.9,overcast clouds,3.7833,72.9667,Omadhoo Inn
241,Ambon,ID,78.84,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
242,Katsuura,JP,80.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
243,Pizhanka,RU,64.76,overcast clouds,57.4604,48.542,Gostinitsa
244,Guna,IN,73.78,very heavy rain,24.65,77.3167,Hotel G K Jain
249,Bereda,ES,63.0,overcast clouds,43.2686,-7.5406,Pazo de Verdes
250,Eyl,SO,85.57,few clouds,7.9803,49.8164,Amiin Hotel
251,Novosokolniki,RU,64.08,light rain,56.3463,30.1578,"Gostinitsa ""Novosokol'nicheskogo Mpzhkkh"""
255,Alyangula,AU,62.47,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
256,Rangoon,MM,78.76,broken clouds,16.8053,96.1561,Clover Hotel
257,Erzin,TR,83.12,clear sky,36.9559,36.2,Artemis Otel
258,Baringo,KE,74.84,overcast clouds,0.4667,35.9667,Country Legend Resort
260,Bosaso,SO,87.51,few clouds,11.2842,49.1816,Red Sea Hotel
261,Binzhou,CN,72.16,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
263,Jagdalpur,IN,72.88,overcast clouds,19.0667,82.0333,STARiHOTELS Geedam Road
264,Narsingi,IN,76.68,overcast clouds,18.0333,78.4333,Dharmakar Nagoji sowrakshana complex
267,Port Moresby,PG,71.44,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
268,Vintila Voda,RO,76.64,clear sky,45.4667,26.7167,La Căsuța Din Poveşti!
270,Xichang,CN,63.46,clear sky,27.8964,102.2634,Xichang ibis Hotel
271,Sambava,MG,68.95,light rain,-14.2667,50.1667,Melrose
272,Noumea,NC,68.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
273,Ingham,US,75.31,broken clouds,42.6,-84.3833,Sunset Place
274,Bahce,TR,86.76,clear sky,37.1972,36.5766,Bahçe Park Otel Osmaniye
281,Ayagoz,KZ,67.19,clear sky,47.9714,80.4392,Gostinitsa Nur
282,Ambilobe,MG,69.82,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
283,Sinjai,ID,73.17,few clouds,-5.1241,120.253,Wisma Sandika
285,Broome,US,76.17,overcast clouds,42.2506,-75.833,Chenango Valley State Park
286,Margate,GB,61.18,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
287,Mocuba,MZ,61.72,clear sky,-16.8392,36.9856,Phama Lodge
288,Hohhot,CN,61.9,few clouds,40.8106,111.6522,Sheraton Hohhot Hotel
289,Simpang,ID,74.39,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
291,Xuddur,SO,75.09,overcast clouds,4.1213,43.8894,Banjanay Hotel
292,Malabo,GQ,77.56,overcast clouds,3.75,8.7833,Hostal Residencia Morenita
294,Tobol,KZ,72.34,scattered clouds,52.6844,62.5794,Tobol Gostinitsa
295,Bairiki,KI,77.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
296,Bitlis,TR,66.16,few clouds,38.5,42.25,Karaman
298,Robat Karim,IR,87.28,broken clouds,35.4846,51.0829,لوازم خانگي شايان
299,Luanda,AO,73.4,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
300,Saint-Joseph,RE,68.36,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
